customer_id,age,income,region,tenure_months,num_products,avg_monthly_spend,login_frequency,missed_payments,churn_risk_score,CLV,notes
C02407,34,148609,East Coast,8,5,848.9,17,1,0.79,3926.15,High churn risk
C02408,29,53618,South,89,5,1952.03,1,0,0.63,66780.35,Moderate value customer
C02409,55,46181,Midwest,26,5,482.59,2,1,0.62,7267.99,Moderate value customer
C02410,22,139573,West Coast,1,3,1856.59,19,3,0.3,2799.61,Moderate value customer
C02411,26,128083,East Coast,107,2,2971.21,29,0,0.89,35971.14,High churn risk
C02412,55,66080,West Coast,112,2,2309.71,20,3,0.3,182081.26,Moderate value customer
C02413,45,106854,Midwest,97,2,2706.11,26,3,0.95,14124.63,High churn risk
C02414,29,114350,South,83,3,1499.75,30,1,0.04,121000.08,High-value loyal customer
C02415,51,85729,West Coast,61,1,597.89,6,3,0.11,32959.45,Moderate value customer
C02416,27,74102,West Coast,84,4,1007.69,10,3,0.73,24854.41,High churn risk
C02417,48,39821,South,82,3,337.28,10,4,0.61,12286.21,Moderate value customer
C02418,22,80625,West Coast,90,1,1605.07,18,0,0.72,40947.76,High churn risk
C02419,21,120591,West Coast,39,2,2019.07,23,3,0.64,29347.74,Moderate value customer
C02420,57,125374,Midwest,9,2,1388.55,8,2,0.53,6873.57,Moderate value customer
C02421,44,146757,West Coast,27,5,1776.97,20,2,0.03,49038.84,Moderate value customer
C02422,55,46944,South,70,5,1097.97,7,4,0.81,17103.0,High churn risk
C02423,27,94933,South,20,1,440.4,10,3,0.51,4815.92,Moderate value customer
C02424,58,32695,South,102,4,1409.6,25,4,0.11,129963.49,High-value loyal customer
C02425,49,92855,East Coast,65,1,1733.83,1,2,0.19,91786.15,High-value loyal customer
C02426,21,37910,Midwest,102,1,2951.38,22,0,0.66,102853.86,Moderate value customer
C02427,50,106387,West Coast,16,4,1172.37,15,3,0.08,19257.29,Moderate value customer
C02428,66,44803,West Coast,68,1,2097.76,10,4,0.87,19044.2,High churn risk
C02429,52,102996,South,67,1,2503.35,22,0,0.79,35722.13,High churn risk
C02430,30,106487,South,22,3,1139.09,3,4,0.31,18791.39,Moderate value customer
C02431,54,127101,South,73,4,2803.81,23,0,0.88,26561.38,High churn risk
C02432,31,130307,South,56,2,1148.73,9,0,0.89,8076.18,High churn risk
C02433,68,42408,East Coast,57,5,2915.45,13,4,0.84,29088.9,High churn risk
C02434,69,90130,Midwest,54,2,206.04,6,2,0.31,8677.05,Moderate value customer
C02435,57,132296,Midwest,8,2,1975.69,19,4,0.66,6373.88,Moderate value customer
C02436,47,128257,East Coast,7,5,2411.79,2,1,0.45,11785.39,Moderate value customer
C02437,68,64229,West Coast,76,5,984.17,12,3,0.54,36906.58,Moderate value customer
C02438,30,141342,West Coast,1,1,527.74,30,2,0.41,811.37,Moderate value customer
C02439,58,59460,Midwest,54,4,268.23,11,2,0.0,16484.42,Moderate value customer
C02440,42,59796,Midwest,12,5,408.34,13,4,0.01,7351.08,Moderate value customer
C02441,44,112814,West Coast,80,4,1720.5,22,3,0.77,33657.2,High churn risk
C02442,28,71966,East Coast,14,1,2549.67,3,1,0.95,2284.77,High churn risk
C02443,26,140778,East Coast,94,2,376.77,17,4,0.23,28270.61,Moderate value customer
C02444,24,100814,West Coast,107,5,516.91,9,3,0.54,27942.31,Moderate value customer
C02445,25,96053,East Coast,116,5,214.29,23,4,0.31,19651.77,Moderate value customer
C02446,26,36825,South,19,1,990.38,15,3,0.48,10284.95,Moderate value customer
C02447,67,70822,Midwest,19,4,2779.49,15,2,0.12,48473.07,Moderate value customer
C02448,52,100835,West Coast,77,4,973.61,4,4,0.73,22241.35,High churn risk
C02449,58,144094,South,108,3,1434.28,14,1,0.52,75853.08,Moderate value customer
C02450,40,135683,South,74,2,701.08,30,3,0.31,36797.14,Moderate value customer
C02451,60,77003,East Coast,111,3,525.6,27,1,0.66,21336.14,Moderate value customer
C02452,65,129304,East Coast,93,4,710.7,14,1,0.51,34386.6,Moderate value customer
C02453,56,50131,Midwest,28,3,789.21,14,4,0.4,14758.73,Moderate value customer
C02454,69,104367,Midwest,77,4,564.81,28,3,0.53,22440.47,Moderate value customer
C02455,34,142423,West Coast,109,5,2416.35,27,0,0.95,15669.11,High churn risk
C02456,67,96265,Midwest,15,1,1536.29,18,1,0.07,21931.25,Moderate value customer
C02457,39,124860,South,81,3,1711.35,3,3,0.92,12589.55,High churn risk
C02458,31,55008,Midwest,63,5,1249.02,6,2,0.13,70958.79,High-value loyal customer
C02459,59,118707,South,23,5,790.08,8,1,0.21,16855.75,Moderate value customer
C02460,21,50321,South,43,1,462.92,19,1,0.98,898.11,High churn risk
C02461,55,32810,West Coast,10,1,412.59,2,1,0.81,1283.92,High churn risk
C02462,39,65705,East Coast,36,5,718.4,5,2,0.35,19310.56,Moderate value customer
C02463,53,66964,Midwest,63,5,2580.49,24,2,0.4,100042.52,Moderate value customer
C02464,52,69231,West Coast,49,3,806.33,9,4,0.3,29157.12,Moderate value customer
C02465,56,47505,Midwest,14,3,1193.49,11,0,0.23,14365.82,Moderate value customer
C02466,44,43135,South,96,2,1803.7,16,4,0.06,163765.89,High-value loyal customer
C02467,63,147014,Midwest,34,2,1631.96,20,0,0.03,54822.04,High-value loyal customer
C02468,27,110569,East Coast,95,5,2064.3,2,1,0.5,100554.25,Moderate value customer
C02469,27,89222,Midwest,39,2,744.08,7,3,0.53,14638.99,Moderate value customer
C02470,66,59838,Midwest,32,5,1667.34,5,1,0.76,15305.17,High churn risk
C02471,67,49800,South,80,1,2349.7,25,2,0.1,169678.4,High-value loyal customer
C02472,25,85132,Midwest,90,1,1285.02,1,0,0.51,57169.38,Moderate value customer
C02473,34,44691,East Coast,81,3,2921.3,28,1,0.92,20430.02,High churn risk
C02474,65,139438,Midwest,22,4,1818.26,21,0,0.85,8000.26,High churn risk
C02475,46,39806,South,100,5,2089.51,4,4,0.53,100706.97,Moderate value customer
C02476,21,61588,West Coast,35,3,1485.45,9,2,0.13,46731.95,Moderate value customer
C02477,33,37522,South,23,2,2601.98,30,2,0.16,51270.25,High-value loyal customer
C02478,43,91869,South,25,5,1464.16,15,3,0.48,21534.08,Moderate value customer
C02479,40,80214,South,69,3,2838.38,27,1,0.62,75922.32,Moderate value customer
C02480,27,70238,West Coast,6,2,1060.97,18,2,0.98,1127.32,High churn risk
C02481,26,127828,East Coast,119,5,2624.29,10,3,0.83,55589.39,High churn risk
C02482,29,43597,South,90,3,1990.19,28,2,0.41,107179.09,Moderate value customer
C02483,48,100086,South,60,4,2437.35,11,4,0.35,97056.65,Moderate value customer
C02484,30,133747,East Coast,102,3,305.56,17,1,0.01,32355.45,Moderate value customer
C02485,55,71478,East Coast,6,5,976.38,26,1,0.01,8299.7,Moderate value customer
C02486,27,82576,Midwest,19,2,2571.82,18,0,0.47,26898.23,Moderate value customer
C02487,45,35934,East Coast,107,5,1091.33,12,3,0.07,111098.25,High-value loyal customer
C02488,50,133726,West Coast,19,5,2195.43,23,4,0.16,37539.06,Moderate value customer
C02489,63,95745,South,110,3,2978.13,13,0,0.98,8051.89,High churn risk
C02490,46,120978,South,111,5,696.07,18,4,0.72,24133.86,High churn risk
C02491,64,132244,West Coast,95,1,1369.13,22,0,0.45,72037.04,Moderate value customer
C02492,32,110315,Midwest,101,4,662.35,28,0,0.86,11365.63,High churn risk
C02493,33,62943,South,87,2,632.0,17,1,0.18,46086.88,Moderate value customer
C02494,60,102790,South,12,4,1972.52,10,4,0.39,16438.85,Moderate value customer
C02495,24,100392,Midwest,13,3,735.85,15,3,0.29,8291.9,Moderate value customer
C02496,21,115449,Midwest,86,3,1551.43,20,3,1.0,1500.0,High churn risk
C02497,26,38408,Midwest,50,1,2938.24,23,0,0.9,15191.2,High churn risk
C02498,22,82062,West Coast,67,3,1132.76,24,0,0.53,37170.61,Moderate value customer
C02499,66,76486,West Coast,76,3,2646.16,8,4,0.42,118142.73,Moderate value customer
C02500,47,79755,East Coast,101,3,1309.82,21,1,1.0,1500.0,High churn risk
C02501,38,76508,Midwest,31,4,936.02,11,1,0.21,24923.13,Moderate value customer
C02502,62,74263,West Coast,77,1,1141.5,18,4,0.41,52358.35,Moderate value customer
C02503,49,129123,West Coast,23,5,557.52,4,4,0.71,6218.66,High churn risk
C02504,53,44022,East Coast,77,2,2101.16,19,1,0.7,49536.8,Moderate value customer
C02505,23,86749,West Coast,70,1,1625.26,29,0,0.57,49420.33,Moderate value customer
C02506,40,145749,South,112,4,1918.73,23,1,0.95,12744.89,High churn risk
C02507,24,40663,West Coast,58,5,1048.66,22,2,0.25,48116.71,Moderate value customer
C02508,38,41662,Midwest,67,5,2029.7,2,2,0.57,60975.66,Moderate value customer
C02509,28,110752,East Coast,71,2,660.88,20,4,0.81,9915.27,High churn risk
C02510,42,98548,Midwest,117,5,2026.92,3,2,0.23,185105.22,High-value loyal customer
C02511,61,147643,Midwest,10,1,427.19,16,3,0.87,1055.35,High churn risk
C02512,42,127868,East Coast,95,5,1320.76,1,2,0.64,47669.99,Moderate value customer
C02513,39,89970,South,68,4,1907.31,17,1,0.38,82412.19,Moderate value customer
C02514,48,95720,East Coast,44,5,2594.89,12,2,0.65,42461.31,Moderate value customer
C02515,22,148136,South,70,4,2474.76,19,0,0.93,14126.32,High churn risk
C02516,29,134722,South,82,5,1675.46,25,4,0.99,3873.88,High churn risk
C02517,55,55177,Midwest,71,2,2673.44,10,0,0.28,137666.25,High-value loyal customer
C02518,42,47693,Midwest,98,1,1616.53,20,2,0.91,14757.79,High churn risk
C02519,46,129675,Midwest,87,4,1648.07,13,0,0.04,139646.81,High-value loyal customer
C02520,54,106494,Midwest,8,5,2217.55,14,3,0.01,20063.0,Moderate value customer
C02521,27,124737,East Coast,114,3,2657.79,16,0,0.6,122695.22,Moderate value customer
C02522,50,47396,West Coast,88,3,1887.61,26,3,0.48,87877.03,Moderate value customer
C02523,69,94243,East Coast,28,1,2843.74,24,1,0.47,42701.1,Moderate value customer
C02524,45,56430,West Coast,109,4,851.24,28,0,0.23,73444.57,High-value loyal customer
C02525,69,30006,East Coast,55,2,2788.07,1,2,0.6,62337.54,Moderate value customer
C02526,29,34045,Midwest,67,2,820.63,29,1,0.02,54882.57,High-value loyal customer
C02527,47,97159,West Coast,77,1,1673.96,24,4,0.43,73970.1,Moderate value customer
C02528,21,110370,East Coast,39,2,2428.89,18,4,0.37,60677.83,Moderate value customer
C02529,53,38254,East Coast,33,5,2444.44,30,2,0.19,67839.88,High-value loyal customer
C02530,28,87784,South,114,1,978.85,3,3,0.51,55178.56,Moderate value customer
C02531,69,47751,East Coast,117,4,2960.51,29,0,0.69,109377.7,Moderate value customer
C02532,52,30586,Midwest,80,2,425.69,14,4,0.81,7470.49,High churn risk
C02533,60,145066,East Coast,75,5,297.39,17,0,0.46,14544.3,Moderate value customer
C02534,39,110166,East Coast,29,2,2556.28,24,1,0.24,57340.41,High-value loyal customer
C02535,56,93146,Midwest,89,1,2493.25,14,0,0.21,175800.41,High-value loyal customer
C02536,65,104983,West Coast,17,1,2195.89,21,4,0.58,16178.65,Moderate value customer
C02537,42,114407,West Coast,37,2,2582.17,25,3,0.39,59279.58,Moderate value customer
C02538,59,73401,Midwest,6,1,585.17,8,4,0.32,2887.49,Moderate value customer
C02539,46,78887,West Coast,46,3,467.93,12,2,0.52,11831.89,Moderate value customer
C02540,23,132250,South,14,1,2914.33,14,4,0.56,18452.27,Moderate value customer
C02541,66,96272,East Coast,83,4,1947.87,2,0,0.23,126488.37,High-value loyal customer
C02542,29,148035,East Coast,37,2,2775.57,6,0,0.38,64671.58,Moderate value customer
C02543,55,147926,West Coast,114,3,2738.04,12,3,0.71,92019.6,High churn risk
C02544,27,120069,West Coast,107,2,2028.79,29,4,0.39,133419.12,Moderate value customer
C02545,35,120210,West Coast,76,1,1959.73,4,1,0.44,83906.11,Moderate value customer
C02546,24,45218,Midwest,83,3,1207.85,26,1,0.64,37590.56,Moderate value customer
C02547,57,40651,South,85,2,617.51,29,1,0.19,43515.56,Moderate value customer
C02548,48,74259,South,29,1,2122.49,4,2,0.87,8501.79,High churn risk
C02549,29,46697,West Coast,92,1,2490.01,30,1,0.34,151693.41,Moderate value customer
C02550,55,89717,Midwest,81,2,1724.95,28,2,0.69,44313.49,Moderate value customer
C02551,68,89129,West Coast,117,2,342.43,16,1,0.3,29045.02,Moderate value customer
C02552,68,135923,Midwest,49,2,605.77,20,3,0.65,11388.96,Moderate value customer
C02553,45,96968,Midwest,2,3,485.49,16,4,0.28,2199.11,Moderate value customer
C02554,29,108246,East Coast,70,3,2041.93,24,2,0.75,37233.78,High churn risk
C02555,53,140821,West Coast,89,4,1781.41,8,0,0.1,144690.94,High-value loyal customer
C02556,37,138090,East Coast,83,3,1506.2,3,2,0.31,87760.07,Moderate value customer
C02557,32,92116,East Coast,70,1,1721.54,8,4,0.57,52318.35,Moderate value customer
C02558,29,140079,South,65,3,972.67,24,2,0.63,24892.71,Moderate value customer
C02559,25,141307,Midwest,46,2,2453.24,13,2,0.14,98050.17,High-value loyal customer
C02560,67,142540,Midwest,63,2,1119.93,7,4,0.32,48977.8,Moderate value customer
C02561,46,110481,Midwest,119,3,2004.04,2,1,0.1,216132.68,High-value loyal customer
C02562,65,46721,Midwest,98,1,1294.45,5,4,0.83,22065.54,High churn risk
C02563,39,99877,East Coast,85,4,402.07,14,3,0.98,2683.52,High churn risk
C02564,55,86968,Midwest,21,2,919.46,5,1,0.28,14902.24,Moderate value customer
C02565,22,145245,South,108,5,2902.28,4,2,0.48,165492.04,Moderate value customer
C02566,65,99835,South,113,4,733.5,17,4,0.51,42613.9,Moderate value customer
C02567,27,118968,East Coast,27,5,493.8,20,3,0.16,13699.38,Moderate value customer
C02568,29,31216,East Coast,63,5,1015.23,1,3,0.67,23606.63,Moderate value customer
C02569,42,74870,West Coast,23,5,2658.19,16,0,0.52,31846.42,Moderate value customer
C02570,62,49814,West Coast,100,2,1056.87,11,3,0.51,52786.63,Moderate value customer
C02571,53,117593,Midwest,100,2,1368.66,23,0,0.06,129654.04,High-value loyal customer
C02572,36,141265,East Coast,96,5,1068.22,11,3,0.08,96845.19,High-value loyal customer
C02573,63,104463,East Coast,39,5,2969.13,17,4,0.96,7131.84,High churn risk
C02574,44,74285,South,58,4,2999.65,4,2,0.94,12438.78,High churn risk
C02575,28,40523,South,45,2,1551.76,16,1,0.02,69432.62,High-value loyal customer
C02576,50,146953,South,81,5,2397.51,12,3,0.54,91831.22,Moderate value customer
C02577,46,60307,East Coast,14,1,816.17,23,3,0.06,11240.8,Moderate value customer
C02578,65,34668,West Coast,22,2,1248.03,29,0,0.79,6765.9,High churn risk
C02579,68,58199,East Coast,17,2,2102.15,5,2,0.05,34949.72,Moderate value customer
C02580,55,136677,East Coast,29,1,1001.72,27,4,0.55,13572.45,Moderate value customer
C02581,65,117610,East Coast,112,5,829.16,29,4,0.62,37789.05,Moderate value customer
C02582,37,149757,West Coast,112,3,2782.27,13,2,0.1,281952.82,High-value loyal customer
C02583,58,125148,South,38,2,884.03,13,4,0.59,14773.19,Moderate value customer
C02584,30,125454,Midwest,90,5,365.98,3,1,0.94,4476.29,High churn risk
C02585,61,112127,Midwest,31,1,2303.05,29,4,0.1,64755.1,High-value loyal customer
C02586,37,57046,Midwest,98,1,881.15,9,1,0.68,28132.86,Moderate value customer
C02587,27,129497,West Coast,58,2,1460.52,18,3,0.27,62838.42,High-value loyal customer
C02588,22,67002,West Coast,91,1,512.36,18,4,0.27,34536.07,Moderate value customer
C02589,31,93690,Midwest,17,1,391.84,29,4,0.54,3564.19,Moderate value customer
C02590,23,80341,Midwest,23,5,1489.25,29,1,0.93,4897.69,High churn risk
C02591,66,149352,West Coast,98,1,1143.85,15,3,0.23,86814.92,High-value loyal customer
C02592,40,129962,Midwest,82,3,1616.59,24,3,0.99,2825.6,High churn risk
C02593,33,119483,East Coast,85,5,2904.19,21,0,0.09,227139.1,High-value loyal customer
C02594,43,46809,South,20,5,1340.69,15,3,0.94,4108.83,High churn risk
C02595,37,45806,West Coast,96,2,1887.44,7,2,0.02,178570.36,High-value loyal customer
C02596,49,59832,South,76,5,473.27,9,0,0.16,32713.56,Moderate value customer
C02597,63,35029,Midwest,4,2,2680.57,27,3,0.98,1214.45,High churn risk
C02598,59,35064,Midwest,73,1,2456.41,16,1,0.27,131402.09,High-value loyal customer
C02599,52,51241,West Coast,75,4,1662.74,2,2,0.01,125458.44,High-value loyal customer
C02600,55,128872,West Coast,49,3,713.46,23,0,0.89,5345.55,High churn risk
C02601,55,79382,East Coast,94,3,1392.66,23,4,0.91,13281.9,High churn risk
C02602,54,63762,West Coast,109,1,1032.68,20,1,0.74,29766.15,High churn risk
C02603,41,126541,South,26,4,2984.65,13,2,0.94,6656.05,High churn risk
C02604,36,138152,West Coast,32,5,1574.35,23,1,0.27,39276.82,Moderate value customer
C02605,43,99575,East Coast,28,4,1382.25,4,0,0.65,15546.05,Moderate value customer
C02606,31,142693,South,51,5,673.36,14,2,0.74,11428.75,High churn risk
C02607,34,68687,Midwest,40,5,869.51,9,0,0.97,3543.41,High churn risk
C02608,23,88133,West Coast,37,5,2192.45,14,0,0.9,10612.06,High churn risk
C02609,27,92855,Midwest,106,4,1697.75,11,3,0.06,171163.81,High-value loyal customer
C02610,60,93340,East Coast,111,1,1202.49,20,1,0.34,88594.42,Moderate value customer
C02611,65,81777,West Coast,51,5,1031.64,13,3,0.62,22493.18,Moderate value customer
C02612,31,141885,East Coast,57,1,762.07,29,3,0.86,6581.32,High churn risk
C02613,53,143028,Midwest,105,5,294.91,17,1,0.28,24795.2,Moderate value customer
C02614,39,88380,South,80,1,2936.02,22,2,0.01,233032.78,High-value loyal customer
C02615,65,149126,East Coast,112,1,2308.71,5,1,0.19,209946.17,High-value loyal customer
C02616,69,127915,West Coast,72,1,2798.04,4,4,0.43,115331.56,Moderate value customer
C02617,61,113532,West Coast,67,2,1355.14,27,2,0.06,86346.72,High-value loyal customer
C02618,43,136834,Midwest,3,4,2634.27,29,3,0.04,9586.7,Moderate value customer
C02619,43,93511,Midwest,74,5,917.5,13,0,0.4,43237.0,Moderate value customer
C02620,49,102738,Midwest,63,5,1627.54,12,0,0.65,38387.26,Moderate value customer
C02621,26,109821,Midwest,12,2,766.94,3,3,0.71,3668.95,High churn risk
C02622,59,144499,West Coast,79,1,2356.94,4,2,0.53,88013.18,Moderate value customer
C02623,25,36041,West Coast,111,1,1593.29,17,4,0.44,99538.91,Moderate value customer
C02624,52,63353,West Coast,91,5,1701.56,21,2,0.02,154245.12,High-value loyal customer
C02625,60,84757,East Coast,51,3,2606.47,18,1,0.26,99868.18,High-value loyal customer
C02626,46,30421,South,110,5,2269.81,15,4,0.67,84894.1,Moderate value customer
C02627,34,72273,South,11,5,2905.54,7,1,0.45,20078.52,Moderate value customer
C02628,38,113233,South,6,2,1334.94,9,2,0.26,6927.13,Moderate value customer
C02629,41,92482,East Coast,12,1,1492.07,14,3,0.23,14286.73,Moderate value customer
C02630,45,50226,Midwest,82,4,1922.95,22,3,0.02,156528.26,High-value loyal customer
C02631,40,43939,Midwest,25,5,1469.27,22,1,0.83,8744.4,High churn risk
C02632,44,70227,Midwest,98,5,1374.92,10,4,0.88,18669.06,High churn risk
C02633,23,136243,West Coast,26,4,1153.6,28,1,0.37,20895.97,Moderate value customer
C02634,42,52905,East Coast,88,2,2529.28,10,4,0.7,67772.99,Moderate value customer
C02635,28,96713,South,58,3,1693.77,19,0,0.06,93844.34,High-value loyal customer
C02636,66,105466,Midwest,80,2,1900.73,24,2,0.89,17726.42,High churn risk
C02637,66,64434,South,36,5,771.41,13,3,0.91,4999.37,High churn risk
C02638,49,132832,Midwest,36,2,904.97,3,3,0.16,28366.29,Moderate value customer
C02639,27,127032,South,21,4,1151.42,16,4,0.78,7319.56,High churn risk
C02640,26,36957,West Coast,94,2,1503.03,11,0,0.47,75880.95,Moderate value customer
C02641,26,93425,East Coast,49,5,323.0,4,3,0.68,7564.64,Moderate value customer
C02642,32,143933,Midwest,84,4,2687.5,3,1,0.47,121647.5,Moderate value customer
C02643,42,38706,Midwest,118,4,2730.39,2,1,0.08,298411.14,High-value loyal customer
C02644,67,66097,Midwest,60,5,2052.7,30,3,0.84,22205.92,High churn risk
C02645,46,100997,Midwest,106,5,1084.95,15,4,0.09,107154.28,High-value loyal customer
C02646,45,100133,East Coast,114,5,1278.89,1,2,0.36,95807.81,Moderate value customer
C02647,39,137484,East Coast,62,3,2255.34,30,0,0.99,2898.31,High churn risk
C02648,56,91856,Midwest,19,5,1001.61,1,2,0.43,13347.44,Moderate value customer
C02649,55,91539,South,11,2,1904.97,1,0,0.82,4771.84,High churn risk
C02650,33,55993,West Coast,78,1,2737.56,26,3,0.17,177729.63,High-value loyal customer
C02651,45,84126,Midwest,100,3,1349.25,21,4,0.83,24437.25,High churn risk
C02652,68,84324,West Coast,80,3,1843.74,10,1,0.46,81149.57,Moderate value customer
C02653,65,118491,South,3,1,2800.05,1,1,0.51,4616.07,Moderate value customer
C02654,52,138692,Midwest,57,2,1153.63,16,1,0.97,2972.71,High churn risk
C02655,50,81166,Midwest,86,3,2326.99,5,4,0.89,23513.33,High churn risk
C02656,41,135122,West Coast,107,3,2314.34,20,2,0.35,162462.35,Moderate value customer
C02657,62,136946,Midwest,69,5,2799.79,18,3,0.95,12159.28,High churn risk
C02658,65,43906,South,53,4,2604.05,3,4,0.1,126213.19,High-value loyal customer
C02659,60,120645,East Coast,66,3,2296.72,8,3,0.03,148536.01,High-value loyal customer
C02660,64,69443,West Coast,12,2,1982.24,15,3,0.53,12179.83,Moderate value customer
C02661,28,57491,East Coast,62,4,875.33,3,2,0.77,14482.21,High churn risk
C02662,61,149506,West Coast,45,1,2077.82,19,1,0.22,73431.48,High-value loyal customer
C02663,62,109213,East Coast,57,3,974.04,2,0,0.08,52578.66,High-value loyal customer
C02664,27,92787,South,2,2,1432.05,12,4,0.85,1429.62,High churn risk
C02665,23,59535,South,101,1,2187.16,21,4,0.99,2709.03,High churn risk
C02666,57,146231,Midwest,55,5,2089.7,18,4,0.69,38129.38,Moderate value customer
C02667,23,88162,South,19,5,1323.36,10,3,0.98,3002.88,High churn risk
C02668,38,129993,South,61,4,711.49,10,2,0.83,9378.15,High churn risk
C02669,62,68450,Midwest,24,1,1555.6,13,4,0.25,28500.8,Moderate value customer
C02670,29,48677,West Coast,5,4,955.92,12,3,0.11,6253.84,Moderate value customer
C02671,44,105200,South,26,1,915.22,7,2,0.81,5021.19,High churn risk
C02672,27,73161,South,92,1,1115.02,26,0,0.66,35377.83,Moderate value customer
C02673,53,71205,East Coast,35,5,2177.47,24,2,0.81,16980.18,High churn risk
C02674,45,71774,South,19,4,1592.4,16,1,0.72,10471.57,High churn risk
C02675,62,82266,Midwest,31,5,1244.88,22,0,0.51,21409.73,Moderate value customer
C02676,54,120504,South,83,1,2721.67,9,0,0.94,14053.92,High churn risk
C02677,58,99794,East Coast,107,5,2178.99,5,0,0.75,60787.98,High churn risk
C02678,41,91905,South,44,4,1585.03,22,3,0.01,71043.91,High-value loyal customer
C02679,58,116527,East Coast,19,4,1379.61,4,0,0.7,9863.78,Moderate value customer
C02680,60,39362,South,84,2,2492.91,9,3,0.54,97326.04,Moderate value customer
C02681,38,44255,West Coast,106,5,684.19,18,1,0.14,64870.76,High-value loyal customer
C02682,59,125055,Midwest,81,2,2059.63,30,0,0.44,94424.82,Moderate value customer
C02683,53,139723,South,12,1,258.84,14,4,0.52,1990.92,Moderate value customer
C02684,48,57138,West Coast,35,5,219.49,1,3,0.47,6571.54,Moderate value customer
C02685,45,81345,West Coast,90,3,2808.99,27,3,0.43,145601.19,Moderate value customer
C02686,34,41775,Midwest,58,2,1639.17,22,2,0.63,36176.59,Moderate value customer
C02687,40,53795,East Coast,117,4,1082.33,28,0,0.66,45055.09,Moderate value customer
C02688,59,106071,West Coast,72,2,2425.15,6,0,0.7,53383.24,Moderate value customer
C02689,40,36950,Midwest,104,5,2957.52,6,2,0.76,76319.7,High churn risk
C02690,27,56937,South,25,2,296.36,14,3,0.83,2259.53,High churn risk
C02691,24,98152,East Coast,25,4,306.29,16,3,0.57,5292.62,Moderate value customer
C02692,51,142919,East Coast,109,2,2593.39,6,2,0.07,263891.94,High-value loyal customer
C02693,50,89868,East Coast,86,2,1758.8,20,1,0.36,97804.35,Moderate value customer
C02694,57,89925,West Coast,13,3,2671.68,11,3,0.0,36231.84,Moderate value customer
C02695,41,41826,West Coast,42,1,2145.0,14,0,0.6,36536.0,Moderate value customer
C02696,21,83721,Midwest,15,4,1517.64,9,1,0.98,2455.29,High churn risk
C02697,23,142851,East Coast,23,1,651.77,7,4,0.83,3048.42,High churn risk
C02698,33,100359,East Coast,28,3,1291.61,24,2,0.49,19944.19,Moderate value customer
C02699,27,128891,Midwest,112,5,2404.01,8,3,0.71,80582.24,High churn risk
C02700,26,60161,South,13,5,854.97,12,3,0.74,5389.8,High churn risk
C02701,26,46366,East Coast,96,3,2194.63,10,2,0.59,87880.64,Moderate value customer
C02702,54,144379,East Coast,75,5,892.56,11,3,0.89,9863.62,High churn risk
C02703,52,145877,Midwest,44,5,1497.9,20,3,0.32,47317.17,Moderate value customer
C02704,36,42767,Midwest,78,2,439.21,6,0,0.67,12305.27,Moderate value customer
C02705,58,92846,West Coast,52,2,1474.0,12,0,0.06,73049.12,High-value loyal customer
C02706,28,136556,South,35,2,1915.57,23,3,0.14,58658.66,High-value loyal customer
C02707,41,121952,West Coast,47,3,1777.29,22,3,0.94,6511.96,High churn risk
C02708,31,102451,West Coast,107,5,1338.11,13,3,0.54,68361.77,Moderate value customer
C02709,43,59259,Midwest,35,1,1235.15,22,3,0.75,11307.56,High churn risk
C02710,26,42496,West Coast,50,4,971.12,7,1,0.87,8312.28,High churn risk
C02711,66,111876,South,104,5,2347.89,9,0,0.93,19592.64,High churn risk
C02712,35,62804,East Coast,87,3,2391.39,24,3,0.09,190826.35,High-value loyal customer
C02713,31,77708,West Coast,40,2,1552.48,3,3,0.7,19629.76,Moderate value customer
C02714,47,39349,West Coast,77,4,1271.17,28,0,0.63,38215.63,Moderate value customer
C02715,35,103454,West Coast,70,4,1984.78,3,4,0.6,57573.84,Moderate value customer
C02716,65,93899,South,93,4,1761.65,16,3,0.15,141258.43,High-value loyal customer
C02717,58,94135,South,42,1,2068.32,18,2,0.77,20479.97,High churn risk
C02718,24,83982,South,15,2,1056.84,13,1,0.32,11779.77,Moderate value customer
C02719,34,53699,Midwest,60,2,2407.38,22,4,0.22,113665.38,High-value loyal customer
C02720,65,114879,East Coast,58,2,1086.88,23,4,0.71,19281.32,High churn risk
C02721,30,55996,Midwest,69,2,1372.43,9,0,0.22,74864.18,High-value loyal customer
C02722,49,125734,East Coast,33,5,570.78,6,1,0.5,11917.87,Moderate value customer
C02723,32,38698,West Coast,40,4,2595.03,15,2,0.32,72584.82,Moderate value customer
C02724,60,56190,South,2,4,2003.97,9,1,0.82,2721.43,High churn risk
C02725,40,75885,South,33,4,858.8,18,4,0.95,3417.02,High churn risk
C02726,57,30972,South,25,3,2584.81,20,4,0.82,13131.65,High churn risk
C02727,22,109214,West Coast,59,2,2173.42,13,1,0.4,77939.07,Moderate value customer
C02728,40,120561,East Coast,27,5,1438.1,1,0,0.16,35116.11,Moderate value customer
C02729,32,140711,Midwest,56,5,2971.56,6,0,0.7,52422.21,Moderate value customer
C02730,58,123492,Midwest,112,3,1144.19,19,4,0.9,14314.93,High churn risk
C02731,50,108457,West Coast,25,3,478.74,26,2,0.4,8681.1,Moderate value customer
C02732,67,128515,East Coast,5,4,2253.69,22,4,0.04,12817.71,Moderate value customer
C02733,38,48715,South,115,4,2319.74,1,1,0.12,236757.69,High-value loyal customer
